id,latitude,longitude,depth,mag
pde20101103111815570_10,-4.617,134.071,10,6
pde20101030151833070_10,-56.586,-142.292,10,6.4
pde20101025193731150_26,-2.958,100.372,26,6.3
pde20101025144222460_20,-3.487,100.082,20.1,7.8
pde20101021175313570_13,24.696,-109.156,13,6.7
pde20101008054308070_120,2.831,128.217,120,6.2
pde20101008034910720_27,51.287,-175.18,27.7,6
pde20101008032613710_19,51.374,-175.361,19,6.4
pde20101004132838860_32,24.27,125.154,32,6.3
pde20100929171125940_26,-4.963,133.76,26,7
pde20100929171051080_10,-4.909,133.712,10,6.2
pde20100926121241710_30,-5.314,133.917,30,6
pde20100917192115010_220,36.443,70.774,220.1,6.3
pde20100909072801720_16,-37.034,-73.412,16,6.2
pde20100908113731890_10,-20.671,169.818,10,6.3
pde20100907161332060_9,-15.879,-179.306,9,6.3
pde20100904085204100_69,-17.368,-173.999,69,6.1
pde20100903163547770_12,-43.522,171.83,12,7
pde20100903111606600_23,51.451,-175.87,23.5,6.5
pde20100824021159090_10,18.795,-107.193,10,6.2
pde20100820175614150_19,-6.57,154.246,19,6.1
pde20100818162815440_10,12.234,141.514,10,6.3
pde20100816193549000_603,-20.799,-178.826,603.2,6.2
pde20100816033053310_9,-17.759,65.647,9.8,6.3
pde20100815150929240_174,-5.692,148.342,174.7,6.3
